TotalSteps,Calories,SedentaryMinutes,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes
6132,2696,908,4.460000038,4.460000038,0,0.239999995,0.99000001,3.230000019,0,3,24,146
3758,2580,682,2.730000019,2.730000019,0,0.07,0.310000002,2.349999905,0,1,7,148
12850,3324,1115,9.340000153,9.340000153,0,0.720000029,4.090000153,4.539999962,0,10,94,221
2309,2222,1388,1.679999948,1.679999948,0,0,0,1.659999967,0.02,0,0,52
4363,2463,1341,3.190000057,3.190000057,0,0.519999981,0.540000021,2.130000114,0.01,6,12,81
9787,3328,1054,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0.02,11,6,369
13372,3404,1139,9.720000267,9.720000267,0,3.25999999,0.790000021,5.670000076,0.01,41,17,243
6724,2987,991,4.889999866,4.889999866,0,0,0,4.880000114,0,0,0,295
6643,3008,1099,4.829999924,4.829999924,0,2.390000105,0.349999994,2.089999914,0.01,32,6,303
9167,2799,1254,6.659999847,6.659999847,0,0.879999995,0.810000002,4.96999979,0.01,12,19,155
1329,1276,713,0.970000029,0.970000029,0,0,0,0.949999988,0.01,0,0,49
6697,2030,1101,4.429999828,4.429999828,0,0,0,4.429999828,0,0,0,339
4929,1860,1192,3.25999999,3.25999999,0,0,0,3.25999999,0,0,0,248
7937,2130,843,5.25,5.25,0,0,0,5.230000019,0,0,0,373
3844,1725,527,2.539999962,2.539999962,0,0,0,2.539999962,0,0,0,176
3414,1657,1293,2.25999999,2.25999999,0,0,0,2.25999999,0,0,0,147
4525,1793,1231,2.99000001,2.99000001,0,0.140000001,0.25999999,2.589999914,0,2,8,199
4597,1814,1211,3.039999962,3.039999962,0,0,0.479999989,2.559999943,0,0,12,217
197,1366,1430,0.129999995,0.129999995,0,0,0,0.129999995,0,0,0,10
8,1349,1439,0.01,0.01,0,0,0,0.01,0,0,0,1
8054,2062,1117,5.320000172,5.320000172,0,0.119999997,0.519999981,4.679999828,0,2,13,308
5372,1827,1220,3.549999952,3.549999952,0,0,0,3.549999952,0,0,0,220
3570,1645,1301,2.359999895,2.359999895,0,0,0,2.359999895,0,0,0,139
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
4,1348,1439,0,0,0,0,0,0,0,0,0,1
6907,1992,1138,4.570000172,4.570000172,0,0,0,4.559999943,0,0,0,302
4920,1856,1082,3.25,3.25,0,0,0,3.25,0,0,0,247
4014,1763,218,2.670000076,2.670000076,0,0,0,2.650000095,0,0,0,184
2573,1541,585,1.700000048,1.700000048,0,0,0.25999999,1.450000048,0,0,7,75
0,1348,1440,0,0,0,0,0,0,0,0,0,0
4059,1742,1256,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,184
2080,1549,1353,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,87
2237,1589,1320,1.480000019,1.480000019,0,0,0,1.480000019,0,0,0,120
44,1351,1438,0.029999999,0.029999999,0,0,0,0.029999999,0,0,0,2
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,1347,1440,0,0,0,0,0,0,0,0,0,0
0,665,711,0,0,0,0,0,0,0,0,0,0
678,2220,734,0.469999999,0.469999999,0,0,0,0.469999999,0,0,0,55
356,2151,986,0.25,0.25,0,0,0,0.25,0,0,0,32
2163,2383,1292,1.5,1.5,0,0,0.400000006,1.100000024,0,0,9,88
980,2221,941,0.680000007,0.680000007,0,0,0,0.680000007,0,0,0,51
0,2064,1440,0,0,0,0,0,0,0,0,0,0
0,2063,1440,0,0,0,0,0,0,0,0,0,0
244,2111,1423,0.170000002,0.170000002,0,0,0,0.170000002,0,0,0,17
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2064,1440,0,0,0,0,0,0,0,0,0,0
149,2093,1430,0.100000001,0.100000001,0,0,0,0.100000001,0,0,0,10
2945,2499,1295,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,145
2090,2324,1358,1.450000048,1.450000048,0,0.07,0.239999995,1.139999986,0,1,6,75
152,2100,1303,0.109999999,0.109999999,0,0,0,0.109999999,0,0,0,12
3761,2638,1058,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,192
0,2063,1440,0,0,0,0,0,0,0,0,0,0
1675,2351,1167,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2064,1440,0,0,0,0,0,0,0,0,0,0
2704,2411,1355,1.870000005,1.870000005,0,1.00999999,0.029999999,0.829999983,0,14,1,70
3790,2505,1322,2.619999886,2.619999886,0,1.159999967,0.300000012,1.159999967,0,16,8,94
1326,2195,1413,0.920000017,0.920000017,0,0.730000019,0,0.180000007,0,10,0,17
1786,2338,1353,1.24000001,1.24000001,0,0,0,1.24000001,0,0,0,87
0,2063,1440,0,0,0,0,0,0,0,0,0,0
2091,2383,1332,1.450000048,1.450000048,0,0,0,1.450000048,0,0,0,108
1510,2229,1392,1.039999962,1.039999962,0,0,0,1.039999962,0,0,0,48
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,2063,1440,0,0,0,0,0,0,0,0,0,0
0,1383,966,0,0,0,0,0,0,0,0,0,0
11875,2390,1157,8.340000153,8.340000153,0,3.309999943,0.769999981,4.260000229,0,42,14,227
12024,2601,1100,8.5,8.5,0,2.99000001,0.100000001,5.409999847,0,43,5,292
10690,2312,1148,7.5,7.5,0,2.480000019,0.209999993,4.820000172,0,32,3,257
11034,2525,1122,8.029999733,8.029999733,0,1.940000057,0.310000002,5.78000021,0,27,9,282
10100,2177,1237,7.090000153,7.090000153,0,3.150000095,0.550000012,3.390000105,0,41,11,151
15112,2782,1052,11.39999962,11.39999962,0,3.869999886,0.660000026,6.880000114,0,28,29,331
14131,2770,1078,10.06999969,10.06999969,0,3.640000105,0.119999997,6.300000191,0,48,3,311
11548,2489,1152,8.529999733,8.529999733,0,3.289999962,0.239999995,5,0,31,7,250
15112,2897,1053,10.67000008,10.67000008,0,3.339999914,1.929999948,5.400000095,0,48,63,276
12453,3158,1028,8.739999771,8.739999771,0,3.329999924,1.110000014,4.309999943,0,104,53,255
12954,2638,1105,9.329999924,9.329999924,0,4.429999828,0.419999987,4.46999979,0,52,10,273
6001,2069,1191,4.210000038,4.210000038,0,0,0,4.210000038,0,0,0,249
13481,2529,1161,10.27999973,10.27999973,0,4.550000191,1.149999976,4.579999924,0,37,26,216
11369,2470,1171,8.010000229,8.010000229,0,3.329999924,0.219999999,4.460000038,0,44,8,217
10119,2793,1086,7.190000057,7.190000057,0,1.429999948,0.660000026,5.110000134,0,55,24,275
10159,2463,1119,7.130000114,7.130000114,0,1.039999962,0.970000029,5.119999886,0,19,20,282
10140,2296,1123,7.119999886,7.119999886,0,0.409999996,1.330000043,5.389999866,0,6,20,291
10245,2611,1098,7.190000057,7.190000057,0,0.479999989,1.210000038,5.5,0,21,40,281
18387,2732,1043,12.90999985,12.90999985,0,0.939999998,1.399999976,10.56999969,0,13,23,361
10538,2380,1142,7.400000095,7.400000095,0,1.940000057,0.959999979,4.5,0,25,28,245
10379,2473,1119,7.289999962,7.289999962,0,2.609999895,0.340000004,4.329999924,0,36,8,277
12183,2752,1104,8.739999771,8.739999771,0,3.99000001,0.460000008,4.28000021,0,72,14,250
11768,2649,1105,8.289999962,8.289999962,0,2.50999999,0.930000007,4.849999905,0,36,27,272
11895,2609,1112,8.350000381,8.350000381,0,2.789999962,0.860000014,4.699999809,0,55,20,253
10227,2498,1104,7.179999828,7.179999828,0,1.870000005,0.670000017,4.639999866,0,24,17,295
6708,1995,1269,4.710000038,4.710000038,0,1.610000014,0.079999998,3.019999981,0,20,2,149
3292,1848,1305,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,135
13379,2709,1061,9.390000343,9.390000343,0,2.119999886,1.629999995,5.639999866,0,35,47,297
12798,2797,1084,8.979999542,8.979999542,0,2.220000029,1.210000038,5.559999943,0,57,28,271
13272,2544,1133,9.319999695,9.319999695,0,4.179999828,1.149999976,3.99000001,0,58,25,224
9117,1853,728,6.409999847,6.409999847,0,1.279999971,0.670000017,4.440000057,0,16,16,236
4414,1459,706,2.74000001,2.74000001,0,0.189999998,0.349999994,2.200000048,0,3,8,181
4993,1521,663,3.099999905,3.099999905,0,0,0,3.099999905,0,0,0,238
3335,1431,653,2.069999933,2.069999933,0,0,0,2.049999952,0,0,0,197
3821,1444,687,2.369999886,2.369999886,0,0,0,2.369999886,0,0,0,188
2547,1373,728,1.580000043,1.580000043,0,0,0,1.580000043,0,0,0,150
838,1214,1053,0.519999981,0.519999981,0,0,0,0.519999981,0,0,0,60
3325,1419,1062,2.059999943,2.059999943,0,0,0,2.059999943,0,0,0,182
2424,1356,785,1.5,1.5,0,0,0,1.5,0,0,0,141
7222,1667,623,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327
2467,1370,749,1.529999971,1.529999971,0,0,0,1.529999971,0,0,0,153
2915,1399,712,1.809999943,1.809999943,0,0,0,1.809999943,0,0,0,162
12357,1916,458,7.710000038,7.710000038,0,0,0,7.710000038,0,0,0,432
3490,1401,704,2.160000086,2.160000086,0,0,0,2.160000086,0,0,0,164
6017,1576,821,3.730000019,3.730000019,0,0,0,3.730000019,0,0,0,260
5933,1595,1018,3.680000067,3.680000067,0,0,0,3.680000067,0,0,0,288
6088,1593,586,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286
6375,1649,626,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,331
7604,1692,492,4.710000038,4.710000038,0,0,0,4.710000038,0,0,0,352
4729,1506,594,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233
3609,1447,716,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191
7018,1690,716,4.349999905,4.349999905,0,0,0,4.349999905,0,0,0,355
5992,1604,981,3.720000029,3.720000029,0,0,0,3.720000029,0,0,0,304
6564,1658,530,4.070000172,4.070000172,0,0,0,4.070000172,0,0,0,345
12167,1926,479,7.539999962,7.539999962,0,0,0,7.539999962,0,0,0,475
8198,1736,511,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383
4193,1491,665,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,229
5528,1555,610,3.450000048,3.450000048,0,0,0,3.450000048,0,0,0,258
10685,1869,543,6.619999886,6.619999886,0,0,0,6.599999905,0,0,0,401
254,1141,1002,0.159999996,0.159999996,0,0,0,0.159999996,0,0,0,17
8580,1698,569,5.320000172,5.320000172,0,0,0,5.320000172,0,0,0,330
8891,1364,330,5.510000229,5.510000229,0,0,0,5.510000229,0,0,0,343
10725,2124,1112,7.489999771,7.489999771,0,1.169999957,0.310000002,6.010000229,0,13,9,306
7275,2003,1105,4.900000095,4.900000095,0,0,0,4.900000095,0,0,0,335
3973,1696,1249,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,191
5205,1801,1195,3.50999999,3.50999999,0,0,0,3.50999999,0,0,0,245
5057,1724,1245,3.410000086,3.410000086,0,0,0,3.400000095,0,0,0,195
6198,1852,1191,4.179999828,4.179999828,0,0,0,4.179999828,0,0,0,249
6559,1905,1173,4.420000076,4.420000076,0,0,0.25999999,4.139999866,0,0,7,260
5997,1811,1201,4.039999962,4.039999962,0,0,0.379999995,3.660000086,0,0,11,228
7192,1922,1146,4.849999905,4.849999905,0,0,0.49000001,4.340000153,0,0,11,283
3404,1610,1302,2.289999962,2.289999962,0,0.059999999,0.419999987,1.809999943,0,1,10,127
5583,1851,1174,3.75999999,3.75999999,0,0,0,3.75999999,0,0,0,266
5079,1804,1129,3.420000076,3.420000076,0,0,0,3.420000076,0,0,0,242
4165,1725,1236,2.809999943,2.809999943,0,0,0,2.799999952,0,0,0,204
3588,1654,1280,2.420000076,2.420000076,0,0.230000004,0.200000003,1.99000001,0,3,5,152
3409,1632,1293,2.299999952,2.299999952,0,0,0,2.299999952,0,0,0,147
1715,1481,1358,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,82
1532,1473,1364,1.029999971,1.029999971,0,0,0,1.029999971,0,0,0,76
924,1410,1395,0.620000005,0.620000005,0,0,0,0.620000005,0,0,0,45
4571,1779,1206,3.079999924,3.079999924,0,0,0,3.069999933,0,0,0,234
772,1403,1400,0.519999981,0.519999981,0,0,0,0.519999981,0,0,0,40
3634,1613,1306,2.450000048,2.450000048,0,0.360000014,0.209999993,1.879999995,0,5,6,123
7443,1878,1204,5.019999981,5.019999981,0,1.49000001,0.370000005,3.160000086,0,20,10,206
1201,1426,1388,0.810000002,0.810000002,0,0,0,0.810000002,0,0,0,52
5202,1780,1206,3.50999999,3.50999999,0,0,0.389999986,3.109999895,0,0,11,223
4878,1742,1236,3.289999962,3.289999962,0,0,0,3.289999962,0,0,0,204
7379,1972,1121,4.96999979,4.96999979,0,0,0,4.96999979,0,0,0,319
5161,1821,1193,3.480000019,3.480000019,0,0,0,3.470000029,0,0,0,247
3090,1630,1295,2.079999924,2.079999924,0,0,0,2.079999924,0,0,0,145
6227,1899,1150,4.199999809,4.199999809,0,0,0,4.199999809,0,0,0,290
6424,1903,1140,4.329999924,4.329999924,0,0,0,4.329999924,0,0,0,300
2661,1125,830,1.789999962,1.789999962,0,0,0,1.789999962,0,0,0,128
10113,2344,964,6.829999924,6.829999924,0,2,0.620000005,4.199999809,0,28,13,320
10352,2038,676,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195
10129,2010,705,6.699999809,6.699999809,0,0.02,2.74000001,3.940000057,0,1,48,206
10465,2133,720,6.920000076,6.920000076,0,0.07,1.419999957,5.429999828,0,1,24,284
22244,2670,968,15.07999992,15.07999992,0,5.449999809,4.099999905,5.53000021,0,66,72,268
5472,1882,508,3.619999886,3.619999886,0,0.079999998,0.280000001,3.25999999,0,1,7,249
8247,1944,678,5.449999809,5.449999809,0,0.790000021,0.860000014,3.789999962,0,11,16,206
6711,2346,648,4.440000057,4.440000057,0,0,0,4.440000057,0,0,7,382
10999,2198,1011,7.269999981,7.269999981,0,0.680000007,1.809999943,4.78000021,0,11,43,269
10080,2048,761,6.75,6.75,0,1.850000024,1.529999971,3.380000114,0,23,26,208
7804,1946,781,5.159999847,5.159999847,0,0.560000002,1.679999948,2.920000076,0,9,27,206
16901,2629,591,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360
9471,2187,584,6.260000229,6.260000229,0,0,0,6.260000229,0,0,0,360
9482,2095,653,6.380000114,6.380000114,0,1.269999981,0.519999981,4.599999905,0,15,11,277
5980,1861,732,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,227
11423,2194,623,7.579999924,7.579999924,0,1.860000014,0.400000006,5.320000172,0,26,9,295
5439,1854,764,3.599999905,3.599999905,0,0,0,3.599999905,0,0,0,229
42,403,2,0.029999999,0.029999999,0,0,0,0.029999999,0,0,0,4
8796,1982,1061,5.909999847,5.909999847,0,0.109999999,0.930000007,4.880000114,0,2,21,356
7618,2004,1028,5.119999886,5.119999886,0,0,0.219999999,4.880000114,0.02,0,8,404
7910,1893,1109,5.320000172,5.320000172,0,0,0,5.320000172,0,0,0,331
8482,2063,992,5.699999809,5.699999809,0,0,0,5.690000057,0.01,0,0,448
9685,2148,1087,6.650000095,6.650000095,0,3.109999895,0.02,3.50999999,0.01,47,1,305
2524,1529,1272,1.700000048,1.700000048,0,0,0.349999994,1.340000033,0,0,8,160
7762,1890,1122,5.239999771,5.239999771,0,0.07,0.280000001,4.889999866,0,1,6,311
7948,1956,1051,5.369999886,5.369999886,0,0,0,5.360000134,0,0,0,389
9202,2094,1035,6.300000191,6.300000191,0,1.50999999,0.119999997,4.659999847,0.01,22,5,378
8859,1970,1057,5.980000019,5.980000019,0,0.129999995,0.370000005,5.46999979,0.01,2,10,371
7286,2241,1028,4.900000095,4.900000095,0,0.460000008,0,4.420000076,0.02,46,0,366
9317,2021,1077,6.349999905,6.349999905,0,2.089999914,0.230000004,4.019999981,0.01,28,5,330
6873,1898,1203,4.679999828,4.679999828,0,3,0.059999999,1.620000005,0,46,1,190
7373,1907,1081,4.949999809,4.949999809,0,0,0,4.949999809,0,0,0,359
8242,1882,1124,5.539999962,5.539999962,0,0.119999997,0.180000007,5.239999771,0,2,5,309
3516,1966,1197,2.359999895,2.359999895,0,0,0,2.359999895,0,46,0,197
7913,1835,1192,5.409999847,5.409999847,0,2.160000086,0.340000004,2.910000086,0,28,7,213
7365,1780,1191,4.949999809,4.949999809,0,1.360000014,1.409999967,2.180000067,0,20,23,206
8452,1830,1167,5.679999828,5.679999828,0,0.330000013,1.080000043,4.260000229,0.01,5,20,248
7399,1739,1219,4.96999979,4.96999979,0,0.49000001,1.039999962,3.440000057,0,7,18,196
7525,1878,1099,5.059999943,5.059999943,0,0,0.209999993,4.829999924,0.02,0,7,334
7412,1906,1070,4.980000019,4.980000019,0,0.059999999,0.25,4.659999847,0.01,1,6,363
8278,2015,1020,5.559999943,5.559999943,0,0,0,5.559999943,0,0,0,420
8314,1971,1093,5.610000134,5.610000134,0,0.779999971,0.800000012,4.03000021,0,13,23,311
7063,1910,1065,4.75,4.75,0,0,0.119999997,4.610000134,0.01,0,5,370
4940,1897,1302,3.380000114,3.380000114,0,2.279999971,0.550000012,0.550000012,0,75,11,52
8168,2096,1068,5.539999962,5.539999962,0,2.900000095,0,2.640000105,0,46,0,326
7726,1906,1095,5.190000057,5.190000057,0,0,0,5.190000057,0,0,0,345
8275,1962,1067,5.559999943,5.559999943,0,0,0,5.550000191,0.01,0,0,373
6440,1826,1121,4.329999924,4.329999924,0,0,0,4.320000172,0.01,0,0,319
7566,1431,720,5.110000134,5.110000134,0,0,0,5.110000134,0,0,0,268
4747,1788,1160,3.24000001,3.24000001,0,0,0,3.230000019,0.01,0,0,280
9715,2093,1045,6.630000114,6.630000114,0,0.99000001,0.340000004,5.269999981,0.02,16,8,371
8844,2065,1039,6.03000021,6.03000021,0,0.340000004,1.029999971,4.650000095,0.01,6,25,370
7451,1908,1105,5.079999924,5.079999924,0,0,0,5.059999943,0.02,0,0,335
6905,1908,1084,4.730000019,4.730000019,0,0,0,4.699999809,0.029999999,0,0,356
8199,1964,1105,5.880000114,5.880000114,0,1.409999967,0.100000001,4.360000134,0.01,11,2,322
6798,2014,1070,4.639999866,4.639999866,0,1.080000043,0.200000003,3.349999905,0,20,7,343
7711,1985,1064,5.260000229,5.260000229,0,0,0,5.239999771,0.02,0,0,376
4880,1867,1148,3.329999924,3.329999924,0,0.839999974,0.090000004,2.380000114,0.02,15,3,274
8857,2124,1037,6.070000172,6.070000172,0,1.149999976,0.25999999,4.639999866,0.01,18,9,376
3843,1669,1234,2.619999886,2.619999886,0,0,0,2.609999895,0.01,0,0,206
7396,1995,1115,5.070000172,5.070000172,0,1.399999976,0.079999998,3.579999924,0,20,2,303
6731,1921,1127,4.590000153,4.590000153,0,0.889999986,0.189999998,3.49000001,0.02,14,7,292
5995,2010,1024,4.090000153,4.090000153,0,0,0,4.090000153,0,0,0,416
8283,2057,1083,5.789999962,5.789999962,0,1.850000024,0.050000001,3.869999886,0.01,22,2,333
7904,2095,1057,5.420000076,5.420000076,0,1.580000043,0.629999995,3.190000057,0.01,24,13,346
5512,1972,1055,3.75999999,3.75999999,0,0,0,3.75999999,0,0,0,385
9135,2044,1038,6.230000019,6.230000019,0,0,0,6.21999979,0.01,0,0,402
5250,1946,1119,3.579999924,3.579999924,0,1.059999943,0.090000004,2.420000076,0.01,17,4,300
3077,1237,842,2.099999905,2.099999905,0,0,0,2.089999914,0,0,0,172
8856,1450,777,5.980000019,5.980000019,0,3.059999943,0.910000026,2.00999999,0,44,19,131
